geoName,MRSA,Typhoid Fever,MAC,Chlamydia,Pathogenic Fungi
Peoria-Bloomington IL,3,0,94,3,0
Philadelphia PA,2,0,95,3,0
Phoenix AZ,2,0,95,3,0
Pittsburgh PA,3,0,95,2,0
Portland OR,1,0,97,2,0
Portland-Auburn ME,3,0,95,2,0
Presque Isle ME,4,0,94,2,0
Providence RI-New Bedford MA,2,0,96,2,0
Puy-de-Dome,0,0,98,2,0
Pyrénées-Atlantiques,0,0,99,1,0
Pyrénées-Orientales,0,0,99,1,0
Quincy IL-Hannibal MO-Keokuk IA,4,0,91,5,0
Raleigh-Durham (Fayetteville) NC,2,0,95,3,0
Rapid City SD,3,0,93,4,0
Reno NV,2,0,96,2,0
Rhône,0,0,98,2,0
Richmond-Petersburg VA,2,0,95,3,0
Roanoke-Lynchburg VA,3,0,94,3,0
Rochester MN-Mason City IA-Austin MN,3,0,94,3,0
Rochester NY,2,0,96,2,0
Rockford IL,3,0,93,4,0
Sacramento-Stockton-Modesto CA,2,0,96,2,0
Salisbury MD,3,0,93,4,0
Salt Lake City UT,1,0,97,2,0
San Angelo TX,2,0,93,5,0
San Antonio TX,2,0,94,4,0
San Diego CA,1,0,97,2,0
San Francisco-Oakland-San Jose CA,1,0,98,1,0
Santa Barbara-Santa Maria-San Luis Obispo CA,1,0,98,1,0
Sarthe,0,0,99,1,0
Savannah GA,2,0,94,4,0
Savoie,0,0,99,1,0
Saône-et-Loire,0,0,98,2,0
Seattle-Tacoma WA,2,0,96,2,0
Seine-Maritime,0,0,98,2,0
Seine-Saint-Denis,0,0,99,1,0
Seine-et-Marne,0,0,98,2,0
Sherman TX-Ada OK,3,0,92,5,0
Shreveport LA,2,0,92,6,0
Sioux City IA,4,0,93,3,0
Sioux Falls(Mitchell) SD,4,0,93,3,0
Somme,0,0,98,2,0
South Bend-Elkhart IN,3,0,94,3,0
Spokane WA,3,0,95,2,0
Springfield MO,3,0,93,4,0
Springfield-Holyoke MA,2,0,96,2,0
St. Joseph MO,3,0,93,4,0
St. Louis MO,2,0,94,4,0
Syracuse NY,2,0,96,2,0
Tallahassee FL-Thomasville GA,2,0,93,5,0
Tampa-St. Petersburg (Sarasota) FL,3,0,94,3,0
Tarn,0,0,98,2,0
Tarn-et-Garonne,0,0,98,2,0
Terre Haute IN,6,0,89,5,0
Territoire de Belfort,0,0,100,0,0
Toledo OH,3,0,94,3,0
Topeka KS,3,0,94,3,0
Traverse City-Cadillac MI,3,0,94,3,0
Tri-Cities TN-VA,4,0,92,4,0
Tucson (Sierra Vista) AZ,2,0,95,3,0
Tulsa OK,3,0,94,3,0
Twin Falls ID,3,0,94,3,0
Tyler-Longview(Lufkin & Nacogdoches) TX,3,0,93,4,0
Utica NY,3,0,94,3,0
Val-d'Oise,0,0,99,1,0
Val-de-Marne,0,0,98,2,0
Var,0,0,99,1,0
Vaucluse,0,0,99,1,0
Vendee,0,0,99,1,0
Victoria TX,0,0,97,3,0
Vienne,0,0,98,2,0
Vosges,0,0,98,2,0
Waco-Temple-Bryan TX,1,0,95,4,0
Washington DC (Hagerstown MD),2,0,96,2,0
Watertown NY,3,0,93,4,0
Wausau-Rhinelander WI,4,0,93,3,0
West Palm Beach-Ft. Pierce FL,2,0,95,3,0
Wheeling WV-Steubenville OH,5,0,91,4,0
Wichita Falls TX & Lawton OK,3,0,93,4,0
Wichita-Hutchinson KS,4,0,92,4,0
Wilkes Barre-Scranton PA,4,0,93,3,0
Wilmington NC,3,0,94,3,0
Yakima-Pasco-Richland-Kennewick WA,3,0,93,4,0
Yonne,0,0,98,2,0
Youngstown OH,3,0,93,4,0
Yuma AZ-El Centro CA,3,0,93,4,0
Yvelines,0,0,99,1,0
Zanesville OH,5,0,91,4,0
